Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Column1,Opposition,Ground,Start Date,2
16,50,31,1,0,51.61,5,bowled,2,,v England,Melbourne,26-12-2021,Test # 2442
15,59,50,0,0,30.00,5,caught,3,,v England,Perth,13-12-2013,Test # 2107
14,48,27,2,0,51.85,4,caught,3,,v India,Melbourne,26-12-2014,Test # 2152
14,35,24,2,0,58.33,3,lbw,4,,v New Zealand,Adelaide,27-11-2015,Test # 2190
12,32,17,1,0,70.58,9,lbw,3,,v Pakistan,Lord's,13-07-2010,Test # 1963
12,30,19,2,0,63.15,4,caught,2,,v England,Brisbane,08-12-2021,Test # 2440
11,20,18,1,1,61.11,4,caught,3,,v South Africa,Gqeberha,09-03-2018,Test # 2298
10,9,8,2,0,125.00,8,bowled,1,,v Pakistan,Leeds,21-07-2010,Test # 1965
10,41,32,1,0,31.25,3,caught,1,,v West Indies,Hobart,10-12-2015,Test # 2193
8,40,27,1,0,29.62,3,caught,3,,v England,Birmingham,29-07-2015,Test # 2173
8,17,14,1,0,57.14,3,bowled,4,,v Sri Lanka,Colombo (SSC),13-08-2016,Test # 2217
8,81,52,0,0,15.38,3,caught,2,,v India,Bengaluru,04-03-2017,Test # 2251
8,16,16,1,0,50.00,5,bowled,2,,v Bangladesh,Mirpur,27-08-2017,Test # 2272
8,53,30,0,0,26.66,4,bowled,3,,v India,Melbourne,26-12-2020,Test # 2398
7,46,37,0,0,18.91,6,caught,1,,v England,Perth,16-12-2010,Test # 1984
7,12,12,0,0,58.33,6,caught,3,,v England,The Oval,21-08-2013,Test # 2094
7,27,12,1,0,58.33,5,caught,3,,v England,Sydney,03-01-2014,Test # 2113
7,26,18,1,0,38.88,3,caught,1,,v England,Birmingham,29-07-2015,Test # 2173
7,29,21,0,1,33.33,4,caught,4,,v South Africa,Cape Town,22-03-2018,Test # 2300
7,17,11,1,0,63.63,4,caught,3,,v New Zealand,Melbourne,26-12-2019,Test # 2376
6,18,15,0,0,40.00,6,caught,1,,v England,Melbourne,26-12-2010,Test # 1986
6,22,17,1,0,35.29,5,bowled,1,,v England,Adelaide,05-12-2013,Test # 2105
6,2,3,1,0,200.00,3,caught,1,,v England,Nottingham,06-08-2015,Test # 2175
6,25,12,1,0,50.00,4,lbw,3,,v England,Adelaide,02-12-2017,Test # 2285
6,43,31,1,0,19.35,5,caught,3,,v England,Adelaide,16-12-2021,Test # 2441
6,15,11,0,0,54.54,4,run out,2,,v Sri Lanka,Galle,29-06-2022,Test # 2469
6,8,5,1,0,120.00,4,caught,4,,v South Africa,Brisbane,17-12-2022,Test # 2482
5*,2,4,1,0,125.00,3,not out,4,,v West Indies,Roseau,03-06-2015,Test # 2164
5,23,19,0,0,26.31,4,bowled,3,,v India,Mohali,14-03-2013,Test # 2081
